form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00695163,SB21B.I21237,,,ORG,AMERICAN WRITERS NETWORK LLC,,,,,,800 MAINE AVE SW,STE 200,WASHINGTON,DC,20003,,,2024-08-02,5000.00,,JFC SPEECH WRITING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21209,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-07-29,365.77,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21245,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-07-31,256.90,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21251,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-08-05,12.82,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21285,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-08-12,342.11,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22312,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-08-19,277.58,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22377,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-08-26,1176.19,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22402,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-09-02,454.80,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22483,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-09-09,461.52,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22507,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-09-16,286.99,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22537,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-09-23,592.48,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22575,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-09-30,918.96,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22587,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-09-30,667.38,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22613,,,ORG,ONMESSAGE INC.,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-09-30,76.90,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22521,,,ORG,PROFESSIONAL DATA SERVICES,,,,,,824 S MILLEDGE AVE,STE 101,ATHENS,GA,30605,,,2024-09-17,3587.99,,JFC COMPLIANCE CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21124,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-07-22,43.04,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21212,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-07-29,0.89,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22314,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-08-19,212.58,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22380,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-08-26,34.48,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22540,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-09-23,202.99,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22578,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-09-30,0.85,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21073,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-07-15,43.35,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21120,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-07-22,320.27,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21208,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-07-29,86.13,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21284,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-08-12,0.85,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22311,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-08-19,60.33,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22376,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-08-26,2875.37,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22401,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-09-02,1237.23,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22482,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-09-09,994.47,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22506,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-09-16,608.28,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22536,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-09-23,480.74,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22574,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-09-30,117.31,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22586,,,ORG,RIGHT RAIL LIST. CO.,,,,,,817 SLATERS LN,,ALEXANDRIA,VA,22314,,,2024-09-30,17.20,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21115,,,ORG,THE ARCHMANN GROUP,,,,,,101 MARKETSIDE AVE,STE 404,PONTE VEDRA,FL,32081,,,2024-07-23,21011.87,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21232,,,ORG,THE ARCHMANN GROUP,,,,,,101 MARKETSIDE AVE,STE 404,PONTE VEDRA,FL,32081,,,2024-08-01,4000.00,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21021,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA ST NW,,WASHINGTON,DC,20016,,,2024-07-03,6245.72,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21240,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA ST NW,,WASHINGTON,DC,20016,,,2024-08-05,2850.00,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22427,,,ORG,THE MORNING GROUP,,,,,,5101 YUMA ST NW,,WASHINGTON,DC,20016,,,2024-09-09,2465.00,,JFC FUNDRAISING CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21065,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-07-08,25.10,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21072,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-07-15,78.28,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21119,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-07-22,195.02,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21207,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-07-29,227.65,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21244,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-07-31,62.38,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21250,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-08-05,60.22,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21283,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-08-12,159.46,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22310,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-08-19,518.17,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22375,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-08-26,556.46,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22400,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-09-02,483.77,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22481,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-09-09,501.07,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22505,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-09-16,246.68,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22535,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-09-23,261.87,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22573,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-09-30,583.40,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22585,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-09-30,835.34,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22611,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD.,STE 530,ARLINGTON,VA,22209,,,2024-09-30,31.48,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
